departamento,municipio,cod_ine,confirmados,recuperados,decesos
Chuquisaca,Sucre,10101,1298,77,66
Chuquisaca,Yotala,10102,29,0,1
Chuquisaca,Poroma,10103,7,0,0
Chuquisaca,Azurduy,10201,7,0,0
Chuquisaca,Tarvita,10202,7,0,0
Chuquisaca,Zudañez,10301,9,0,0
Chuquisaca,Presto,10302,10,0,0
Chuquisaca,Mojocoya,10303,5,1,0
Chuquisaca,Villa Ricardo Mugia - Icla,10304,11,2,0
Chuquisaca,Padilla,10401,15,1,0
Chuquisaca,Tomina,10402,14,0,0
Chuquisaca,Sopachui,10403,3,0,0
Chuquisaca,Alcalá,10404,9,1,0
Chuquisaca,El Villar,10405,1,0,0
Chuquisaca,Monteagudo,10501,46,5,0
Chuquisaca,Tarabuco,10601,9,1,0
Chuquisaca,Yamparáez,10602,17,0,0
Chuquisaca,Camargo,10701,7,0,0
Chuquisaca,San Lucas,10702,10,0,1
Chuquisaca,Incahuasi,10703,14,0,0
Chuquisaca,Villa Charcas,10704,4,0,0
Chuquisaca,Villa Serrano,10801,9,0,0
Chuquisaca,Villa Abecia,10901,3,0,0
Chuquisaca,Culpina,10902,22,3,0
Chuquisaca,Las Carreras,10903,1,0,0
Chuquisaca,Villa Vaca Guzmán,11001,18,6,0
Chuquisaca,Macharetí,11003,3,0,0
La Paz,Nuestra Señora de La Paz,20101,5796,415,71
La Paz,Mecapaca,20103,8,0,0
La Paz,Achocalla,20104,14,3,0
La Paz,El Alto,20105,2560,225,44
La Paz,Achacachi,20201,10,1,3
La Paz,Villa Ancoraimes,20202,3,1,0
La Paz,Corocoro,20301,6,0,0
La Paz,Escoma,20405,4,0,1
La Paz,Chuma,20501,1,0,0
La Paz,Ayata,20502,1,0,0
La Paz,Sorata,20601,2,0,0
La Paz,Guanay,20602,1,0,0
La Paz,Mapiri,20607,2,0,1
La Paz,Teoponte,20608,6,1,0
La Paz,Pelechuco,20702,1,0,0
La Paz,Viacha,20801,174,27,1
La Paz,Puerto Mayor de Guaqui,20802,1,0,0
La Paz,Sapahaqui,20902,1,0,0
La Paz,Malla,20904,5,1,0
La Paz,Cairoma,20905,12,11,0
La Paz,Cajuata,21003,2,1,1
La Paz,Colquiri,21004,53,10,5
La Paz,Ichoca,21005,1,0,0
La Paz,Chulumani,21101,16,1,3
La Paz,Irupana,21102,5,0,2
La Paz,Yanacachi,21103,9,1,0
La Paz,Palos Blancos,21104,18,1,2
La Paz,La Asunta,21105,4,0,1
La Paz,Pucarani,21201,10,1,1
La Paz,Laja,21202,7,0,2
La Paz,Batallas,21203,7,0,2
La Paz,Sicasica,21301,7,1,2
La Paz,Umala,21302,15,6,2
La Paz,Calamarca,21304,1,0,0
La Paz,Patacamaya,21305,55,25,5
La Paz,Collana,21307,1,0,0
La Paz,Coroico,21401,19,0,0
La Paz,Coripata,21402,25,4,4
La Paz,San Buenaventura,21502,9,0,1
La Paz,Copacabana,21701,4,1,0
La Paz,Caranavi,22001,45,5,1
La Paz,Alto Beni,22002,1,0,1
Cochabamba,Cochabamba,30101,3499,412,267
Cochabamba,Aiquile,30201,9,0,1
Cochabamba,Omereque,30203,9,5,1
Cochabamba,Ayopaya,30301,2,0,0
Cochabamba,Tarata,30401,14,3,1
Cochabamba,Anzaldo,30402,2,0,0
Cochabamba,Arbieto,30403,14,0,1
Cochabamba,Arani,30501,9,1,2
Cochabamba,Vacas,30502,3,2,0
Cochabamba,Arque,30601,2,0,1
Cochabamba,Capinota,30701,25,1,3
Cochabamba,Santivañez,30702,26,18,1
Cochabamba,Sicaya,30703,4,4,0
Cochabamba,Cliza,30801,11,1,2
Cochabamba,Toco,30802,3,0,1
Cochabamba,Tolata,30803,7,1,1
Cochabamba,Quillacollo,30901,458,68,22
Cochabamba,Sipesipe,30902,98,55,6
Cochabamba,Tiquipaya,30903,121,24,6
Cochabamba,Vinto,30904,102,25,9
Cochabamba,Colcapirhua,30905,94,7,6
Cochabamba,Sacaba,31001,554,135,43
Cochabamba,Colomi,31002,17,0,3
Cochabamba,Villa Tunari,31003,89,30,6
Cochabamba,Tapacarí,31101,9,0,2
Cochabamba,Totora,31201,3,0,0
Cochabamba,Pojo,31202,2,0,0
Cochabamba,Pocona,31203,1,0,0
Cochabamba,Chimoré,31204,115,66,10
Cochabamba,Puerto Villarroel,31205,367,68,24
Cochabamba,Entre Ríos,31206,355,80,31
Cochabamba,Mizque,31301,8,5,1
Cochabamba,Vila Vila,31302,1,0,0
Cochabamba,Punata,31401,62,19,12
Cochabamba,San Benito,31403,30,2,1
Cochabamba,Tacachi,31404,1,0,0
Cochabamba,Bolivar,31501,4,2,0
Cochabamba,Tiraque,31601,2,1,0
Cochabamba,Shinahota,31602,145,25,4
Oruro,Oruro,40101,1700,256,95
Oruro,Caracollo,40102,12,0,7
Oruro,Paria,40104,2,0,1
Oruro,Challapata,40201,51,3,3
Oruro,Santuario de Quillacas,40202,13,3,0
Oruro,Turco,40402,1,0,0
Oruro,Huachacalla,40501,14,0,0
Oruro,Esmeralda,40505,6,0,0
Oruro,Poopó,40601,2,0,1
Oruro,Antequera,40603,2,0,0
Oruro,Huanuni,40701,317,64,25
Oruro,Machacamarca,40702,5,3,1
