Departamento,Municipio,Casos,Casos por millón de habitantes,Desde el 04-23,Recuperados,Decesos
Beni,Trinidad,1046,8005,1044,4,65
Santa Cruz,Montero,681,5009,599,29,24
Santa Cruz,Moro Moro,12,4722,12,0,0
Santa Cruz,Portachuelo,85,4307,85,0,1
Santa Cruz,Colpa Bélgica,23,3750,23,0,2
Santa Cruz,San Pedro,55,2284,54,1,0
Oruro,Eucaliptus,11,2212,8,6,4
Santa Cruz,Mairana,25,1894,25,1,2
Cochabamba,Santibañez,12,1644,0,0,0
Santa Cruz,Genreal Saavedra,23,1635,19,0,0
Santa Cruz,Fernández Alonzo,31,1565,31,0,1
Santa Cruz,Santa Cruz de la Sierra,2427,1409,2193,130,76
Oruro,Huanuni,39,1394,26,16,3
Santa Cruz,Mineros,38,1393,38,0,0
La Paz,Patacamaya,27,1140,7,16,2
Santa Cruz,El Torno,69,1090,69,1,1
La Paz,Cairoma,11,1011,-1,0,0
La Paz,Umala,8,987,8,0,1
Santa Cruz,Buena Vista,12,910,12,0,0
Santa Cruz,La Guardia,159,894,137,8,4
Santa Cruz,Santa Rosa,21,881,15,0,0
Cochabamba,Omereque,5,854,0,0,0
Beni,San Andres,11,823,11,0,0
Santa Cruz,San Juan de Yapacaní,8,748,8,0,0
Santa Cruz,Lagunillas,4,706,4,0,0
Oruro,Santuario de Quillacas,3,670,0,2,0
Beni,Guayaramerin,29,652,29,0,1
Santa Cruz,Porongo (Ayacucho),9,527,8,1,0
Santa Cruz,Vallegrande,9,487,1,4,0
Cochabamba,San Benito,8,468,8,0,1
Santa Cruz,Warnes,97,452,85,0,1
Santa Cruz,Robore,7,429,2,3,1
Santa Cruz,Cotoca,22,401,15,0,1
Santa Cruz,Pailon,19,400,19,0,1
Cochabamba,Punata,13,393,5,5,1
Cochabamba,Sipe Sipe,16,339,16,0,1
Oruro,Oruro,92,303,49,46,6
Cochabamba,Sacaba,60,287,58,1,2
Santa Cruz,Cuatro Cañadas,8,277,8,0,1
Santa Cruz,Cabezas,8,250,8,0,0
Potosí,Colcha K,4,250,4,0,0
Cochabamba,Entre Rios,9,247,9,0,0
Cochabamba,Tarata,2,229,2,0,0
Cochabamba,Chimore,6,223,5,1,0
Santa Cruz,Yapacaní,17,220,17,0,0
La Paz,La Paz,179,219,109,98,9
Cochabamba,Vacas,2,218,2,0,0
Cochabamba,Villa Tunari,16,201,16,0,0
Cochabamba,Arani,2,199,2,0,0
Beni,San Ramon,1,191,1,0,1
Santa Cruz,Camiri,7,191,7,0,0
Beni,San Ignacio de Moxos,4,177,4,0,0
Santa Cruz,Samaipata,2,170,2,0,0
La Paz,Malla,1,161,0,0,0
La Paz,El Alto,146,154,102,69,10
Cochabamba,Quillacollo,26,153,17,15,2
Pando,Cobija,12,152,0,6,1
Santa Cruz,Okinawa Uno,2,141,2,0,0
Cochabamba,Cochabamba,97,133,70,15,3
Potosí,Potosi,29,131,9,14,1
Chuquisaca,Icla,1,128,1,0,0
Santa Cruz,Puerto Suarez,3,122,3,0,0
Cochabamba,Vinto,7,112,7,0,1
Santa Cruz,San Carlos,2,84,1,1,0
Santa Cruz,Concepcion,2,83,1,0,0
Cochabamba,Cliza,2,83,1,1,1
Cochabamba,Shinaota,2,82,2,0,0
La Paz,Cajuata,1,81,1,0,0
Cochabamba,Puerto Villarroel,4,76,4,0,0
Potosí,Uyuni,3,75,2,0,0
Chuquisaca,Monteagudo,2,73,2,0,0
La Paz,Copacabana,1,65,0,1,0
La Paz,Sica Sica,2,62,2,1,1
Santa Cruz,San Julián,4,59,3,0,0
Chuquisaca,Sucre,17,57,15,11,2
Tarija,Tarija,15,55,12,5,1
La Paz,Viacha,5,55,5,3,0
La Paz,Caranavi,3,55,3,0,0
Beni,Santa Ana,1,54,1,0,0
Chuquisaca,Culpina,1,53,1,0,0
La Paz,Chulumani,1,46,0,0,0
Santa Cruz,San José de Chiquitos,2,44,2,0,0
Cochabamba,Colomi,1,44,1,0,1
Cochabamba,Ayopaya (V. de Independencia),1,40,1,0,0
Beni,Riberalta,4,39,4,0,0
La Paz,Laja,1,38,0,0,0
Tarija,San Lorenzo,1,38,1,1,0
Cochabamba,Colcapirhua,2,33,1,0,0
Cochabamba,Tiquipaya,2,30,2,0,0
Santa Cruz,Asención de Guarayos,1,27,1,0,0
Beni,San Borja,1,22,1,0,0
La Paz,Achacachi,1,21,1,0,0
Tarija,Yacuiba,1,9,1,0,1
